A/a,,CODE,ITS EQUIPMENT,DIRECTION ,LOCATION,RELATIVE LOCATION,,Geographical area,Latitude,Latitude,X position,Y position
1,POLE,W-PTZ-15.02,PTZ CAMERA,WEST,15+ 300,RIGHT SIDE OF THE ROAD,,ΓΕ4,40.587727,22.985937,,
2,POLE,W-PTZ-15.01,PTZ CAMERA,WEST,15+ 016,K11a,,ΓΕ4,40.589073,22.988863,,
3,POLE,W-PTZ-14.02,PTZ CAMERA,WEST,14+ 832,RIGHT SIDE OF THE ROAD,,ΓΕ4,40.590637,22.989913,,
4,POLE,W-PTZ-14.01,PTZ CAMERA,WEST,14+ 292,RIGHT SIDE OF THE ROAD,,ΓΕ4,40.594159,22.994368,,
5,POLE,W-PTZ-13.03,PTZ CAMERA,WEST,13+ 864,RIGHT SIDE OF THE ROAD,,ΓΕ4,40.59734,22.996657,,
6,POLE,W-PTZ-13.02,PTZ CAMERA,WEST,13+ 722,RIGHT SIDE OF THE ROAD,,ΓΕ4,40.598797,22.997416,,
7,POLE,W-PTZ-13.01,PTZ CAMERA,WEST,13+ 500,RIGHT SIDE OF THE ROAD,,ΓΕ4,40.600721,22.998128,,
8,POLE,W-PTZ-12.02,PTZ CAMERA,WEST,12+ 994.5,RIGHT SIDE OF THE ROAD,,ΓΕ4,40.605205,22.999307,,
9,POLE,W-PTZ-12.01,PTZ CAMERA,WEST,12+ 496,RIGHT SIDE OF THE ROAD,,ΓΕ3,40.609676,23.000356,,
10,HANGING FROM CEILING,T21-W-PTZ-12.02,PTZ CAMERA,WEST,12+ 133,RIGHT WALL,,ΓΕ3,40.61285,22.998495,,
11,HANGING FROM CEILING,T21-WF-PTZ-12.01,PTZ CAMERA,WEST,12+ 133/8+056,RIGHT WALL,,ΓΕ3,40.612753,22.998366,,
12,HANGING FROM CEILING,T21-W-PTZ-12.01,PTZ CAMERA,WEST,12+ 064,RIGHT WALL,,ΓΕ3,40.613248,22.997797,,
13,ON AID POLE,W-PTZ-11.02,PTZ CAMERA,WEST,11+ 860,RIGHT SIDE OF THE ROAD,,ΓΕ3,40.613958,22.995333,,
14,POLE,W-PTZ-11.01,PTZ CAMERA,WEST,11+ 495.5,K10,,ΓΕ3,40.614812,22.991068,,
15,WALL,T15-W-PTZ-11.04,PTZ CAMERA,WEST,11+417,RIGHT WALL,,ΓΕ3,40.614151,22.990093,,
16,WALL,T15-W-PTZ-11.03,PTZ CAMERA,WEST,11+326.5,RIGHT WALL,,ΓΕ3,40.614239,22.989068,,
17,WALL,T15-W-PTZ-11.02,PTZ CAMERA,WEST,11+210,RIGHT WALL,,ΓΕ3,40.614562,22.987806,,
18,WALL,T15-W-PTZ-11.01,PTZ CAMERA,WEST,11+088.5,RIGHT WALL,,ΓΕ3,40.615084,22.986596,,
19,WALL,T15-W-PTZ-10.03,PTZ CAMERA,WEST,10+972,RIGHT WALL,,ΓΕ3,40.615738,22.985556,,
20,WALL,T15-W-PTZ-10.02,PTZ CAMERA,WEST,10+849.5,RIGHT WALL,,ΓΕ3,40.61656,22.984632,,
21,WALL,T15-W-PTZ-10.01,PTZ CAMERA,WEST,10+761,RIGHT WALL,,ΓΕ3,40.617208,22.9841,,
22,KATW DIABASH,W-PTZ-10.01,PTZ CAMERA,WEST,10+ 081,K9 KATW DIABASH (RIGHT WALL),,ΓΕ2,40.623091,22.982019,,
23,KATW DIABASH,W-PTZ-9.02,PTZ CAMERA,WEST,9+ 623,K8 KATW DIABASH (RIGHT WALL),,ΓΕ2,40.626701,22.979237,,
24,POLE,W-PTZ-9.01,PTZ CAMERA,WEST,9+ 245,K7a,,ΓΕ2,40.629614,22.976888,,
25,POLE,W-PTZ-7.01,PTZ CAMERA,WEST,7+ 604,K7,,ΓΕ2,40.643062,22.971041,,
26,POLE,ΔW-PTZ-7.01,PTZ CAMERA,WEST,7+ 537,K5,ΔΕΣΠΕΡ,,40.678125,22.959321,,
27,POLE,W-PTZ-5.01,PTZ CAMERA,WEST,5+ 692,K6,,ΓΕ1,40.659484,22.969089,,
28,HANGING FROM CEILING,T8-W-PTZ-5.07,PTZ CAMERA,WEST,5+ 765,CORNER BETWEEN MAIN ROAD AND EXIT,,ΓΕ1,40.658953,22.96813,,
29,HANGING FROM CEILING,T8-W-PTZ-5.06,PTZ CAMERA,WEST,5+ 655,CORNER BETWEEN MAIN ROAD AND EXIT,,ΓΕ1,40.659941,22.968395,,
30,HANGING FROM CEILING,T8-W-PTZ-5.05,PTZ CAMERA,WEST,5+ 594,CORNER BETWEEN MAIN ROAD AND ENTRANCE,,ΓΕ1,40.660513,22.96845,,
31,WALL,T8-W-PTZ-5.04,PTZ CAMERA,WEST,5+ 525,RIGHT WALL,,ΓΕ1,40.661144,22.968431,,
32,WALL,T8-W-PTZ-5.03,PTZ CAMERA,WEST,5+ 300,RIGHT WALL,,ΓΕ1,40.663053,22.96736,,
33,WALL,T8-W-PTZ-5.02,PTZ CAMERA,WEST,5+ 170,RIGHT WALL,,ΓΕ1,40.663818,22.966465,,
34,WALL,T8-W-PTZ-5.01,PTZ CAMERA,WEST,5+ 040.5,RIGHT WALL,,ΓΕ1,40.664648,22.965392,,
35,POLE,W-PTZ-4.01,PTZ CAMERA,WEST,4+ 143,K-PAPAGEORGIOU RIGHT SIDE OF THE ROAD,,ΓΕ1,40.671958,22.961534,,
36,POLE,ΔE-PTZ-7.01,PTZ CAMERA,EAST,7+ 101,K5,ΔΕΣΠΕΡ,,40.67856,22.957531,,
37,POLE,ΔE-PTZ-7.02,PTZ CAMERA,EAST,7+ 403,K5,ΔΕΣΠΕΡ,,40.679217,22.954171,,
38,POLE,E-PTZ-3.01,PTZ CAMERA,EAST,3+ 963.16,K-PAPAGEORGIOU RIGHT SIDE OF THE ROAD,,ΓΕ1,40.673409,22.960421,,
39,POLE,E-PTZ-4.01,PTZ CAMERA,EAST,4+ 366.88,RIGHT SIDE OF THE ROAD,,ΓΕ1,40.669851,22.961403,,
40,POLE,E-PTZ-4.02,PTZ CAMERA,EAST,4+ 847.41,RIGHT SIDE OF THE ROAD,,ΓΕ1,40.665768,22.963316,,
41,WALL,T8-E-PTZ-5.01,PTZ CAMERA,EAST,5+ 147,RIGHT WALL,,ΓΕ1,40.663889,22.965882,,
42,WALL,T8-E-PTZ-5.02,PTZ CAMERA,EAST,5+ 270,RIGHT WALL,,ΓΕ1,40.663127,22.966921,,
43,WALL,T8-E-PTZ-5.03,PTZ CAMERA,EAST,5+ 390,RIGHT WALL,,ΓΕ1,40.662229,22.967609,,
44,HANGING FROM CEILING,T8-E-PTZ-5.04,PTZ CAMERA,EAST,5+ 509,CORNER BETWEEN MAIN ROAD AND EXIT,,ΓΕ1,40.661251,22.968059,,
45,WALL,T8-E-PTZ-5.05,PTZ CAMERA,EAST,5+ 631.5,RIGHT WALL,,ΓΕ1,40.660177,22.968132,,
46,WALL,T8-E-PTZ-5.06,PTZ CAMERA,EAST,5+ 730,RIGHT WALL,,ΓΕ1,40.659322,22.967928,,
47,POLE,E-PTZ-5.01,PTZ CAMERA,EAST,5+ 704/0+037,K6,,ΓΕ1,40.659633,22.967598,,
48,POLE,E-PTZ-6.01,PTZ CAMERA,EAST,6+ 291.81,RIGHT SIDE OF THE ROAD,,ΓΕ2,40.654434,22.966061,,
49,POLE,E-PTZ-6.02,PTZ CAMERA,EAST,6+ 700,RIGHT SIDE OF THE ROAD,,ΓΕ2,40.650716,22.966414,,
50,POLE,E-PTZ-7.01,PTZ CAMERA,EAST,7+ 265.3,RIGHT SIDE OF THE ROAD,,ΓΕ2,40.645835,22.968349,,
51,POLE,E-PTZ-7.02,PTZ CAMERA,EAST,7+ 628.71,K7 RIGHT SIDE OF THE ROAD,,ΓΕ2,40.642659,22.969083,,
52,POLE,E-PTZ-7.03,PTZ CAMERA,EAST,7+ 849.35,RIGHT SIDE OF THE ROAD,,ΓΕ2,40.640697,22.969595,,
53,POLE,E-PTZ-8.01,PTZ CAMERA,EAST,8+ 150,RIGHT SIDE OF THE ROAD,,ΓΕ2,40.638065,22.970554,,
54,POLE,E-PTZ-8.02,PTZ CAMERA,EAST,8+ 484.5,RIGHT SIDE OF THE ROAD,,ΓΕ2,40.635218,22.971886,,
55,POLE,E-PTZ-8.03,PTZ CAMERA,EAST,8+ 885,RIGHT SIDE OF THE ROAD,,ΓΕ2,40.631899,22.973764,,
56,POLE,E-PTZ-9.01,PTZ CAMERA,EAST,9+ 366.5/0+090,RIGHT SIDE OF THE ROAD,,ΓΕ2,40.628171,22.976729,,
57,POLE,E-PTZ-9.02,PTZ CAMERA,EAST,9+ 605/0+329,K8 RIGHT SIDE OF THE ROAD,,ΓΕ2,40.626486,22.978476,,
