A/a,,CODE,ITS EQUIPMENT,DIRECTION ,LOCATION,RELATIVE LOCATION,,Geographical area,Latitude,Longitude,X position,Y position,Rotation
1,RADAR,W-RDR-4.01,RDR,WEST,4+ 143,,,ΓΕ1,40.6719828,22.9615138,412079.256,4502577.377,166
2,RADAR,W-RDR-4.02,RDR,WEST,4+ 847/4+834.5,,,ΓΕ1,40.6660289,22.963827,412266.9781,4501914.141,166
3,RADAR,W-RDR-9.01,RDR,WEST,9+ 427/1+ 155,,,ΓΕ2,40.6280945,22.977809,413399.8997,4497689.359,166
4,RADAR,W-RDR-9.02,RDR,WEST,9+ 857/0+ 722,,,ΓΕ2,40.6249325,22.9808456,413652.6544,4497335.381,162
5,RADAR,W-RDR-12.01,RDR,WEST,12+ 496,,,ΓΕ3,40.6096541,23.0003167,415280.2342,4495620.496,136
6,RADAR,W-RDR-13.01,RDR,WEST,13+ 864,,,ΓΕ4,40.5973124,22.9966587,414955.1612,4494254.024,112
7,RADAR,E-RDR-4.01,RDR,EAST,4+ 366.88,,,ΓΕ1,40.6698188,22.9614219,412068.6505,4502337.248,315
8,RADAR,E-RDR-4.02,RDR,EAST,4+ 847.41,,,ΓΕ1,40.6657226,22.9633261,412224.2401,4501880.645,350
9,RADAR,E-RDR-6.01,RDR,EAST,6+ 291.81,,,ΓΕ2,40.6544577,22.9660443,412439.2925,4500627.457,315
10,RADAR,E-RDR-6.02,RDR,EAST,6+ 700,,,ΓΕ2,40.6507293,22.966381,412462.8964,4500213.253,315
11,RADAR,E-RDR-7.01,RDR,EAST,7+ 493.93,,,ΓΕ2,40.6438332,22.9690821,412682.2906,4499445.063,315
12,RADAR,E-RDR-7.02,RDR,EAST,7+ 849.35,,,ΓΕ2,40.6407304,22.9695868,412720.9369,4499100.128,315
13,RADAR,E-RDR-8.01,RDR,EAST,8+ 484.5,,,ΓΕ2,40.63519,22.9719165,412910.7405,4498482.804,337
14,RADAR,E-RDR-8.02,RDR,EAST,8+ 885,,,ΓΕ2,40.631922,22.9737868,413064.6736,4498118.195,350
15,RADAR,E-RDR-9.01,RDR,EAST,9+ 366.5/0+090,,,ΓΕ2,40.6281798,22.9766977,413306.02,4497699.924,0
16,RADAR,E-RDR-9.02,RDR,EAST,9+ 605/0+ 302,,,ΓΕ2,40.6264893,22.9784956,413455.8963,4497510.5,348
17,RADAR,E-RDR-10.01,RDR,EAST,10+ 123.62,,,ΓΕ2,40.6225505,22.9817416,413725.3746,4497070.088,334
18,RADAR,E-RDR-10.02,RDR,EAST,10+ 585.5,,,ΓΕ2,40.6185291,22.9829789,413824.8697,4496622.477,320
19,RADAR,E-RDR-11.01,RDR,EAST,11+ 409.11,,,ΓΕ3,40.6137336,22.9899824,414411.1657,4496083.325,29
20,RADAR,E-RDR-12.01,RDR,EAST,12+ 254,,,ΓΕ3,40.6116876,22.9988847,415161.6628,4495847.612,354
21,RADAR,E-RDR-13.01,RDR,EAST,13+ 525,,,ΓΕ4,40.6006003,22.9975194,415032.1412,4494618.175,299
22,RADAR,E-RDR-14.01,RDR,EAST,14+ 114.5,,,ΓΕ4,40.5957336,22.9950901,414820.4385,4494080.284,287
23,RADAR,E-RDR-14.02,RDR,EAST,14+ 934.45,,,ΓΕ4,40.5902182,22.9887959,414280.8124,4493474.144,267
24,RADAR,E-RDR-15.01,RDR,EAST,15+ 394.45,,,ΓΕ4,40.5874068,22.9848015,413939.2,4493165.959,268
25,RADAR,EF-RDR-1.01,RDR,EAST,1+072,,FLY,ΓΕ1,40.663948,22.9658798,412437.7755,4501681.107,348
26,RADAR,EF-RDR-3.01,RDR,EAST,3+951.5,,FLY,ΓΕ2,40.6391337,22.970431,412790.2429,4498922.055,348
27,RADAR,EF-RDR-7.01,RDR,EAST,7+778,,FLY,ΓΕ3,40.6136057,22.9953362,414863.8985,4496063.947,37
28,RADAR,ΔE-RDR-7.01,RDR,EAST,7+101,,ΔΕΣΠΕΡ,,40.6792181,22.9541446,411465.9717,4503387.932,38
29,RADAR,ΔE-RDR-6.01,RDR,EAST,6+076,,ΔΕΣΠΕΡ,,40.6786654,22.9427911,410505.7416,4503338.058,77
30,RADAR,ΔE-RDR-5.01,RDR,EAST,5+402,,ΔΕΣΠΕΡ,,40.6769511,22.9343059,409786.333,4503156.409,45
31,RADAR,ΔE-RDR-4.01,RDR,EAST,4+006,,ΔΕΣΠΕΡ,,40.677411,22.9186335,408462.4291,4503223.646,44
32,RADAR,ΔE-RDR-2.01,RDR,EAST,2+613,,ΔΕΣΠΕΡ,,40.6778324,22.902194,407073.6574,4503287.641,49
33,RADAR,ΔW-RDR-4.01,RDR,WEST,4+921,,ΔΕΣΠΕΡ,,40.6773677,22.9294589,409377.2567,4503207.641,227
34,RADAR,ΔW-RDR-3.01,RDR,WEST,3+340,,ΔΕΣΠΕΡ,,40.6778891,22.9108055,407801.5172,4503284.882,227
35,RADAR,ΔW-RDR-2.01,RDR,WEST,2+089,,ΔΕΣΠΕΡ,,40.6771618,22.8960369,406552.3711,4503219.724,256
36,RADAR,ΔE-RDR-1.02,RDR,EAST,1+649.5,,ΔΕΣΠΕΡ,,40.675053,22.8916831,406181.4613,4502990.255,89
37,RADAR,ΔE-RDR-1.01,RDR,EAST,1+183.5,,ΔΕΣΠΕΡ,,40.6720487,22.8879018,405857.6656,4502660.796,91
