A/a,,CODE,ITS EQUIPMENT,DIRECTION ,LOCATION,RELATIVE LOCATION,,Geographical area,Latitude,Longitude,X position,Y position,Rotation
1,RAMP RADAR,W-RRDR-4.01,RRDR,WEST,4+247/0+245.5,,,ΓΕ1,40.67101,22.96176,412098.6888,4502469.39,
2,RAMP RADAR,W-RRDR-5.01,RRDR,WEST,5+636/0+050,,,ΓΕ1,40.66005,22.96855,412658.3648,4501246.159,
3,RAMP RADAR,W-RRDR-5.02,RRDR,WEST,5+738/0+080,,,ΓΕ1,40.65912,22.96853,412655.6991,4501142.61,
4,RAMP RADAR,W-RRDR-7.01,RRDR,WEST,7+495/0+156,,,ΓΕ2,40.64395,22.96971,412735.5099,4499457.349,
5,RAMP RADAR,W-RRDR-8.01,RRDR,WEST,8+729.5/0+484,,,ΓΕ2,40.63335,22.97359,413049.9744,4498276.976,
6,RAMP RADAR,W-RRDR-9.01,RRDR,WEST,9+309/0+051.5,,,ΓΕ2,40.62899,22.97706,413338.0261,4497789.15,
7,RAMP RADAR,W-RRDR-9.02,RRDR,WEST,9+542/0+489.5,,,ΓΕ2,40.62723,22.97858,413464.2845,4497592.992,
8,RAMP RADAR,W-RRDR-9.03,RRDR,WEST,9+756/0+826,,,ΓΕ2,40.62573,22.98017,413596.8297,4497424.342,
9,RAMP RADAR,W-RRDR-9.04,RRDR,WEST,9+982/0+596,,,ΓΕ2,40.62395,22.9816,413715.097,4497225.4,
10,RAMP RADAR,W-RRDR-10.01,RRDR,WEST,10+262/0+311,,,ΓΕ2,40.62154,22.98283,413815.7813,4496956.546,
11,RAMP RADAR,W-RRDR-11.01,RRDR,WEST,11+576.5/0+057.5,,,ΓΕ3,40.61427,22.99196,414579.5436,4496140.561,
12,RAMP RADAR,W-RRDR-13.01,RRDR,WEST,13+887/0+029,,,ΓΕ4,40.60058,22.99818,415088.3454,4494615.521,
13,RAMP RADAR,W-RRDR-13.02,RRDR,WEST,13+887,,,ΓΕ4,40.5973,22.997,414983.6082,4494252.065,
14,RAMP RADAR,W-RRDR-15.01,RRDR,WEST,15+157/0+060.9,,,ΓΕ4,40.58855,22.98722,414145.3543,4493290.094,
15,RAMP RADAR,E-RRDR-5.01,RRDR,EAST,5+540/0+050,,,ΓΕ1,40.66097,22.96804,412616.6987,4501348.156,
16,RAMP RADAR,E-RRDR-7.01,RRDR,EAST,7+7369.5/0+051,,,ΓΕ2,40.64492,22.96865,412646.9636,4499565.694,
17,RAMP RADAR,E-RRDR-8.01,RRDR,EAST,8+599/0+031,,,ΓΕ2,40.62395,22.9816,413715.097,4497225.4,
18,RAMP RADAR,E-RRDR-9.01,RRDR,EAST,9+502/0+226.5,,,ΓΕ2,40.62718,22.97771,413390.158,4497588.15,
19,RAMP RADAR,E-RRDR-9.02,RRDR,EAST,9+671/0+395,,,ΓΕ2,40.626,22.97897,413495.595,4497456.223,
20,RAMP RADAR,E-RRDR-9.03,RRDR,EAST,9+902/0+625,,,ΓΕ2,40.62433,22.98054,413625.816,4497268.98,
21,RAMP RADAR,E-RRDR-11.01,RRDR,EAST,11+375/0+090.5,,,ΓΕ3,40.61386,22.98917,414342.4277,4496098.102,
22,RAMP RADAR,E-RRDR-13.01,RRDR,EAST,13+524/0+092,,,ΓΕ4,40.60068,22.99731,415014.5985,4494627.713,
23,RAMP RADAR,E-RRDR-13.02,RRDR,EAST,13+912/0+073,,,ΓΕ4,40.5975,22.99561,414866.5737,4494275.53,
24,RAMP RADAR,E-RRDR-14.01,RRDR,EAST,14+697/0+092,,,ΓΕ4,40.59178,22.99071,414444.4056,4493646.062,
