A/a,,CODE,ITS EQUIPMENT,DIRECTION ,LOCATION,RELATIVE LOCATION,,,Geographical area,TYPE,Latitude,Longitude
1,GANTRY,W-VMS-15.01,VMS,WEST,15+ 522,,,17,ΓΕ4,TYPE E1,40.587727,22.985937
2,GANTRY,W-VMS-13.01,VMS,WEST,13+ 150,,,16.5,ΓΕ4,TYPE E1,40.589073,22.988863
3,TUNNEL ENTRANCE,W-VMS-11.01,VMS,WEST,11+530,,,14,ΓΕ3,TYPE E1,40.590637,22.989913
4,CANTILEVER,WR-VMS-10.01,VMS,WEST,10+ 426/0+ 141,,PLEVRIKO,,ΓΕ2,TYPE C1,40.594159,22.994368
5,GANTRY ,WR-VMS-9.01,VMS,WEST,9+ 857/0+ 722,,PLEVRIKO,,ΓΕ2,TYPE C1,40.59734,22.996657
6,GANTRY ,W-VMS-8.01,VMS,WEST,8+ 397,,,12.5,ΓΕ2,TYPE E1,40.598797,22.997416
7,GANTRY ,W-VMS-6.01,VMS,WEST,6+ 700,,,12.22,ΓΕ2,TYPE E1,40.600721,22.998128
8,CANTILEVER,W-VMS-4.01,VMS,WEST,4+ 847/4+834.5,,,11,ΓΕ1,TYPE D1,40.605205,22.999307
9,CANTILEVER,E-VMS-4.01,VMS,EAST,4+ 927,,,11,ΓΕ1,TYPE D1,40.609676,23.000356
10,GANTRY,E-VMS-6.01,VMS,EAST,6+ 700,,,11.42,ΓΕ2,TYPE E1,40.61285,22.998495
11,GANTRY,E-VMS-8.01,VMS,EAST,8+ 425,,,12.5,ΓΕ2,TYPE E1,40.612753,22.998366
12,CANTILEVER,ER-VMS-9.01,VMS,EAST,9+ 100.27,,PLEVRIKO,,ΓΕ2,TYPE C1,40.613248,22.997797
13,GANTRY,ER-VMS-9.02,VMS,EAST,9+762/0+486,,PLEVRIKO,,ΓΕ2,TYPE C1,40.613958,22.995333
14,GANTRY,E-VMS-10.01,VMS,EAST,10+ 700,,,14,ΓΕ2,TYPE E1,40.614812,22.991068
15,GANTRY,E-VMS-14.01,VMS,EAST,14+ 324,,,15,ΓΕ4,TYPE E1,40.614151,22.990093
16,GANTRY,WF-VMS-0.01,VMS,WEST,0+799,,FLY,9,ΓΕ1,TYPE E2,40.614239,22.989068
17,GANTRY,EF-VMS-2.01,VMS,EAST,2+855.5,,FLY,9.7,ΓΕ2,TYPE E2,40.614562,22.987806
18,GANTRY,WF-VMS-3.01,VMS,WEST,3+314,,FLY,9.7,ΓΕ2,TYPE E2,40.615084,22.986596
19,GANTRY,EF-VMS-5.01,VMS,EAST,5+213.5,,FLY,9.7,ΓΕ2,TYPE E2,40.615738,22.985556
20,GANTRY,WF-VMS-6.01,VMS,WEST,6+038,,FLY,9.7,ΓΕ2,TYPE E2,40.61656,22.984632
21,GANTRY,EF-VMS-7.01,VMS,EAST,7+778,,FLY,9,ΓΕ3,TYPE E2,40.617208,22.9841
22,GANTRY,WF-VMS-7.01,VMS,WEST,7+778,,FLY,9,ΓΕ3,TYPE E2,40.623091,22.982019
23,GANTRY,ΔW-VMS-7.01,VMS,WEST,7+342,,ΔΕΣΠΕΡ,12+,,TYPE E1,40.626701,22.979237
24,GANTRY,ΔW-VMS-3.01,VMS,WEST,3+591,,ΔΕΣΠΕΡ,12.9,,TYPE E1,40.629614,22.976888
25,GANTRY,ΔW-VMS-2.01,VMS,WEST,2+091,,ΔΕΣΠΕΡ,11.4,,TYPE E1,40.643062,22.971041
26,GANTRY,ΔW-VMS-0.01,VMS,WEST,0+367,,ΔΕΣΠΕΡ,11.2,,TYPE E1,411901.9597,4503261.378
27,UNDERPASS ENTRANCE,ΔE-VMS-6.01,VMS,EAST,6+428.3,,ΔΕΣΠΕΡ,7.3,,TYPE D1,40.659484,22.969089
28,CANTILEVER,ΔΕR-VMS-4.01,VMS,EAST,4+780,,ΔΕΣΠΕΡ,6.2,,TYPE D1,40.658953,22.96813
