A/a,,CODE,ITS EQUIPMENT,DIRECTION ,LOCATION,RELATIVE LOCATION,GROUPING,,,INSIDE TECHNICAL,Geographical area,Lat,Long,X position,Y position
1,GANTRY,W-VSLS-15.02.1,VSLS,WEST,15+ 300,LEFT LANE,1,,,,ΓΕ4,40.587823,22.985802,414024.4023,4493211.186
2,GANTRY,W-VSLS-15.02.2,VSLS,WEST,15+ 300,MIDDLE LANE,,,,,ΓΕ4,40.5878,22.98583,414026.777,4493208.614
3,GANTRY,W-VSLS-15.02.3,VSLS,WEST,15+ 300,RIGHT LANE,,,,,ΓΕ4,40.587777,22.985859,414029.1518,4493206.042
4,GANTRY,W-VSLS-14.01.1,VSLS,WEST,14+ 832,LEFT LANE,2,,,,ΓΕ4,40.590714,22.989809,414367.2027,4493528.195
5,GANTRY,W-VSLS-14.01.2,VSLS,WEST,14+ 832,MIDDLE LANE,,,,,ΓΕ4,40.590691,22.989838,414369.5893,4493525.635
6,GANTRY,W-VSLS-14.01.3,VSLS,WEST,14+ 832,RIGHT LANE,,,,,ΓΕ4,40.590668,22.989866,414371.9759,4493523.075
7,GANTRY,W-VSLS-13.04.1,VSLS,WEST,13+ 900,LEFT LANE,3,,,,ΓΕ4,40.597351,22.996447,414937.3362,4494258.473
8,GANTRY,W-VSLS-13.04.2,VSLS,WEST,13+ 900,MIDDLE-LEFT LANE,,,,,ΓΕ4,40.597338,22.996486,414940.5432,4494257.071
9,GANTRY,W-VSLS-13.04.3,VSLS,WEST,13+ 900,MIDDLE-RIGHT LANE,,,,,ΓΕ4,40.597326,22.996524,414943.7502,4494255.67
10,GANTRY,W-VSLS-13.04.4,VSLS,WEST,13+ 900,RIGHT LANE,,,,,ΓΕ4,40.597314,22.996562,414946.9571,4494254.268
11,GANTRY,W-VSLS-13.02.1,VSLS,WEST,13+ 500,LEFT LANE,4,,,,ΓΕ4,40.600775,22.99793,415067.1463,4494637.165
12,GANTRY,W-VSLS-13.02.2,VSLS,WEST,13+ 500,MIDDLE-LEFT LANE,,,,,ΓΕ4,40.600765,22.99797,415070.4687,4494636.065
13,GANTRY,W-VSLS-13.02.3,VSLS,WEST,13+ 500,MIDDLE-RIGHT LANE,,,,,ΓΕ4,40.600756,22.998009,415073.7911,4494634.964
14,GANTRY,W-VSLS-13.02.4,VSLS,WEST,13+ 500,RIGHT LANE,,,,,ΓΕ4,40.600746,22.998049,415077.1135,4494633.863
15,GANTRY,W-VSLS-12.03.1,VSLS,WEST,12+ 865,LEFT LANE,5,,,,ΓΕ3,40.60637,22.999449,415202.651,4495256.796
16,GANTRY,W-VSLS-12.03.1,VSLS,WEST,12+ 865,RIGHT LANE,,,,,ΓΕ3,40.606365,22.999489,415206.103,4495256.224
17,GANTRY,WF-VSLS-12.03.1,VSLS,WEST,12+ 865/8+794,LEFT LANE,,FLY-L0,,,ΓΕ3,40.606382,22.999348,415194.1827,4495258.226
18,GANTRY,WF-VSLS-12.03.1,VSLS,WEST,12+ 865/8+794,RIGHT LANE,,FLY-L0,,,ΓΕ3,40.606377,22.999389,415197.6328,4495257.643
19,GANTRY,W-VSLS-12.02.1,VSLS,WEST,12+ 544,LEFT LANE,6,,,,ΓΕ3,40.609199,23.000109,415262.1009,4495570.144
20,GANTRY,W-VSLS-12.02.2,VSLS,WEST,12+ 544,MIDDLE LANE,,,,,ΓΕ3,40.609194,23.00015,415265.559,4495569.604
21,GANTRY,W-VSLS-12.02.3,VSLS,WEST,12+ 544,RIGHT LANE,,,,,ΓΕ3,40.60919,23.000191,415269.0171,4495569.065
22,GANTRY,WF-VSLS-12.02.1,VSLS,WEST,12+ 544/8+528,LEFT LANE,,FLY-L0,,,ΓΕ3,40.609211,23.000004,415253.2093,4495571.617
23,GANTRY,WF-VSLS-12.02.2,VSLS,WEST,12+ 544/8+528,RIGHT LANE,,FLY-L0,,,ΓΕ3,40.609207,23.000045,415256.6665,4495571.078
24,BRIDGE,T21-W-VSLS-12.03.1,VSLS,WEST,12+ 168,LEFT LANE,7,,T21,T,ΓΕ3,40.61257,22.998744,415150.909,4495945.692
25,BRIDGE,T21-W-VSLS-12.03.2,VSLS,WEST,12+ 168,MIDDLE LANE,,,,T,ΓΕ3,40.612592,22.998774,415153.4604,4495948.087
26,BRIDGE,T21-W-VSLS-12.03.3,VSLS,WEST,12+ 168,RIGHT LANE,,,,T,ΓΕ3,40.612614,22.998804,415156.0117,4495950.483
27,BRIDGE,T21-WF-VSLS-12.03.1,VSLS,WEST,12+ 168/8+092,LEFT LANE,,FLY-L0,,T,ΓΕ3,40.612497,22.998643,415142.2572,4495937.653
28,BRIDGE,T21-WF-VSLS-12.03.2,VSLS,WEST,12+ 168/8+092,RIGHT LANE,,FLY-L0,,T,ΓΕ3,40.612518,22.998674,415144.8634,4495939.987
29,BRIDGE,T21-W-VSLS-12.01.1,VSLS,WEST,12+ 029,LEFT LANE,8,,,T,ΓΕ3,40.613363,22.997349,415033.8962,4496035.02
30,BRIDGE,T21-W-VSLS-12.01.2,VSLS,WEST,12+ 029,MIDDLE LANE,,,,T,ΓΕ3,40.61339,22.997369,415035.5901,4496038.083
31,BRIDGE,T21-W-VSLS-12.01.3,VSLS,WEST,12+ 029,RIGHT LANE,,,,T,ΓΕ3,40.613418,22.997389,415037.284,4496041.145
32,BRIDGE,T21-WF-VSLS-12.01.1,VSLS,WEST,12+ 029/7+949,LEFT LANE,,FLY-L0,,T,ΓΕ3,40.613268,22.997282,415028.0982,4496024.629
33,BRIDGE,T21-WF-VSLS-12.01.2,VSLS,WEST,12+ 029/7+949,RIGHT LANE,,FLY-L0,,T,ΓΕ3,40.613296,22.997303,415029.8555,4496027.655
34,GANTRY,W-VSLS-11.01.1,VSLS,WEST,11+860,LEFT LANE,9,,,,ΓΕ3,40.613853,22.995303,414861.3846,4496091.428
35,GANTRY,W-VSLS-11.01.2,VSLS,WEST,11+860,MIDDLE LANE,,,,,ΓΕ3,40.613884,22.995309,414861.9517,4496094.882
36,GANTRY,W-VSLS-11.01.3,VSLS,WEST,11+860,RIGHT LANE,,,,,ΓΕ3,40.613915,22.995315,414862.5188,4496098.335
37,TUNNEL ENTRANCE,T15-W-VSLS-11.06.1,VSLS,WEST,11+530,LEFT LANE,10,T15,,T,ΓΕ3,40.61401,22.991411,414532.3472,4496112.639
38,TUNNEL ENTRANCE,T15-W-VSLS-11.06.2,VSLS,WEST,11+530,MIDDLE LANE,,,,T,ΓΕ3,40.614042,22.991411,414532.4474,4496116.138
39,TUNNEL ENTRANCE,T15-W-VSLS-11.06.3,VSLS,WEST,11+530,RIGHT LANE,,,,T,ΓΕ3,40.614073,22.991412,414532.5475,4496119.637
40,TUNNEL ENTRANCE,T15-W-VSLS-11.06.4,VSLS,WEST,11+530,ENTRY LANE,,,,T,ΓΕ3,40.614129,22.991413,414532.7247,4496125.826
41,BRIDGE,T15-W-VSLS-11.04.1,VSLS,WEST,11+263,LEFT LANE,11,,,T,ΓΕ3,40.614325,22.988344,414273.3056,4496150.593
42,BRIDGE,T15-W-VSLS-11.04.2,VSLS,WEST,11+263,MIDDLE LANE,,,,T,ΓΕ3,40.614355,22.988357,414274.4837,4496153.889
43,BRIDGE,T15-W-VSLS-11.04.3,VSLS,WEST,11+263,RIGHT LANE,,,,T,ΓΕ3,40.614385,22.988371,414275.6618,4496157.185
44,BRIDGE,T15-W-VSLS-11.02.1,VSLS,WEST,11+100,LEFT LANE,12,,,T,ΓΕ3,40.614973,22.986648,414130.7091,4496224.106
45,BRIDGE,T15-W-VSLS-11.02.2,VSLS,WEST,11+100,MIDDLE LANE,,,,T,ΓΕ3,40.614999,22.986671,414132.6647,4496227.009
46,BRIDGE,T15-W-VSLS-11.02.3,VSLS,WEST,11+100,RIGHT LANE,,,,T,ΓΕ3,40.615025,22.986694,414134.6204,4496229.912
47,BRIDGE,T15-W-VSLS-10.03.1,VSLS,WEST,10+941,LEFT LANE,13,,,T,ΓΕ3,40.615881,22.985245,414013.1488,4496326.261
48,BRIDGE,T15-W-VSLS-10.03.2,VSLS,WEST,10+941,MIDDLE LANE,,,,T,ΓΕ3,40.615902,22.985275,414015.7239,4496328.631
49,BRIDGE,T15-W-VSLS-10.03.3,VSLS,WEST,10+941,RIGHT LANE,,,,T,ΓΕ3,40.615924,22.985305,414018.299,4496331.002
50,BRIDGE,T15-W-VSLS-10.01.1,VSLS,WEST,10+703,LEFT LANE,14,,,T,ΓΕ3,40.617635,22.983724,413886.7673,4496522.484
51,BRIDGE,T15-W-VSLS-10.01.2,VSLS,WEST,10+703,MIDDLE LANE,,,,T,ΓΕ3,40.617648,22.983762,413889.9814,4496523.87
52,BRIDGE,T15-W-VSLS-10.01.3,VSLS,WEST,10+703,RIGHT LANE,,,,T,ΓΕ3,40.61766,22.9838,413893.1954,4496525.255
53,GANTRY,W-VSLS-10.02.1,LCS,WEST,10+470,LEFT LANE,15,,,,ΓΕ2,40.619644,22.982981,413826.4608,4496746.198
54,GANTRY,W-VSLS-10.02.2,LCS,WEST,10+470,MIDDLE LANE,,,,,ΓΕ2,40.61965,22.983021,413829.9009,4496746.843
55,GANTRY,W-VSLS-10.02.3,LCS,WEST,10+470,RIGHT LANE,,,,,ΓΕ2,40.619656,22.983062,413833.341,4496747.487
56,GANTRY,WR-VSLS-10.01.1,LCS,WEST,10+470/0+102,LEFT LANE,,RAMP,,,ΓΕ2,40.619668,22.983145,413840.3803,4496748.794
57,GANTRY,WR-VSLS-10.01.2,LCS,WEST,10+470/0+102,RIGHT LANE,,,,,ΓΕ2,40.619675,22.983186,413843.8224,4496749.423
58,GANTRY,W-VSLS-9.04.1,VSLS,WEST,9+ 837,LEFT LANE,16,,,,ΓΕ2,40.624956,22.980423,413616.9557,4497338.457
59,GANTRY,W-VSLS-9.04.2,VSLS,WEST,9+ 837,MIDDLE LANE,,,,,ΓΕ2,40.624974,22.980457,413619.8585,4497340.412
60,GANTRY,W-VSLS-9.04.3,VSLS,WEST,9+ 837,RIGHT LANE,,,,,ΓΕ2,40.624992,22.980491,413622.7613,4497342.367
61,GANTRY,W-VSLS-9.03.1,VSLS,WEST,9+605,LEFT LANE,17,,,,ΓΕ2,40.626644,22.978793,413481.2631,4497527.362
62,GANTRY,W-VSLS-9.03.1,VSLS,WEST,9+605,MIDDLE LANE,,,,,ΓΕ2,40.626662,22.978824,413483.9265,4497529.332
63,GANTRY,W-VSLS-9.03.1,VSLS,WEST,9+605,RIGHT LANE,,,,,ΓΕ2,40.626679,22.978854,413486.4153,4497531.202
64,GANTRY,W-VSLS-9.02.1,VSLS,WEST,9+ 366.5,LEFT LANE,18,,,,ΓΕ2,40.628351,22.977089,413339.3211,4497718.493
65,GANTRY,W-VSLS-9.02.2,VSLS,WEST,9+ 366.5,MIDDLE LANE,,,,,ΓΕ2,40.62837,22.977122,413342.1351,4497720.574
66,GANTRY,W-VSLS-9.02.3,VSLS,WEST,9+ 366.5,RIGHT LANE,,,,,ΓΕ2,40.628389,22.977155,413344.9492,4497722.655
67,GANTRY,W-VSLS-9.01.1,VSLS,WEST,9+ 175.5,LEFT LANE,19,,,,ΓΕ2,40.629727,22.975729,413226.0528,4497872.567
68,GANTRY,W-VSLS-9.01.2,VSLS,WEST,9+ 175.5,MIDDLE-LEFT LANE,,,,,ΓΕ2,40.629745,22.975762,413228.8764,4497874.635
69,GANTRY,W-VSLS-9.01.3,VSLS,WEST,9+ 175.5,MIDDLE LANE,,,,,ΓΕ2,40.629764,22.975795,413231.7,4497876.703
70,GANTRY,W-VSLS-9.01.4,VSLS,WEST,9+ 175.5,MIDDLE-RIGHT LANE,,,,,ΓΕ2,40.629783,22.975828,413234.5236,4497878.771
71,GANTRY,W-VSLS-9.01.5,VSLS,WEST,9+ 175.5,RIGHT LANE,,,,,ΓΕ2,40.629802,22.975861,413237.3472,4497880.839
72,GANTRY,W-VSLS-8.03.1,VSLS,WEST,8+ 885,LEFT LANE,20,,,,ΓΕ2,40.631984,22.973988,413081.7699,4498124.835
73,GANTRY,W-VSLS-8.03.2,VSLS,WEST,8+ 885,MIDDLE-LEFT LANE,,,,,ΓΕ2,40.631997,22.974026,413084.9642,4498126.265
74,GANTRY,W-VSLS-8.03.3,VSLS,WEST,8+ 885,MIDDLE-RIGHT LANE,,,,,ΓΕ2,40.63201,22.974063,413088.1584,4498127.696
75,GANTRY,W-VSLS-8.03.4,VSLS,WEST,8+ 885,RIGHT LANE,,,,,ΓΕ2,40.632023,22.974101,413091.3527,4498129.127
76,GANTRY,W-VSLS-8.02.1,VSLS,WEST,8+ 723,LEFT LANE,21,,,,ΓΕ2,40.633318,22.973261,413022.0046,4498273.663
77,GANTRY,W-VSLS-8.02.2,VSLS,WEST,8+ 723,MIDDLE LANE,,,,,ΓΕ2,40.633329,22.973299,413025.278,4498274.902
78,GANTRY,W-VSLS-8.02.3,VSLS,WEST,8+ 723,RIGHT LANE,,,,,ΓΕ2,40.633341,22.973338,413028.5514,4498276.141
